Amount,Validity,Per Day Data,Additional Data,FUP,,Data Ratio,Validity Ratio,FUP Ratio
2599,365,2,10,12000,,0.2847,0.1404,4.61716044632551
2399,365,2,0,12000,,0.3043,0.1521,5.00208420175073
599,84,2,0,3000,,0.2805,0.1402,5.00834724540902
444,56,2,0,2000,,0.2523,0.1261,4.50450450450451
249,28,2,0,1000,,0.2249,0.1124,4.01606425702811
2121,336,1.5,0,12000,,0.2376,0.1584,5.65770862800566
555,84,1.5,0,3000,,0.227,0.1514,5.40540540540541
399,56,1.5,0,2000,,0.2105,0.1404,5.0125313283208
199,28,1.5,0,1000,,0.2111,0.1407,5.0251256281407
149,24,1,0,300,,0.1611,0.1611,2.01342281879195
401,28,3,6,1000,,0.2244,0.0698,2.49376558603491
999,84,3,0,3000,,0.2523,0.0841,3.003003003003
349,28,3,0,1000,,0.2407,0.0802,2.86532951289398
4999,360,0.9722,0,12000,,0.07,0.072,2.4004800960192
